ID,브랜드명,팝업스토어명,카테고리,세부카테고리,시작일,종료일,운영일수,위치,구역,원산지(원본),원산지(정제),콜라보,설명,연도,출처
11,프루아(Prua),프루아 쇼룸 오픈,패션,,2015-01-01,2015-12-31,,서울 성동구 성수동,,국내,국내,,이탈리아 베지터블 가죽으로 만든 고품질 가방과 액세서리를 합리적 가격에 제공하는 브랜드. 성수동에 작업실을 두고 손수 제작. 인스타그램으로 유명세를 타며 성수동 작업실 겸 쇼룸 오픈. 성수동으로 젊은 소비자를 끌어들이는 핫 브랜드로 자리매김.,2015,['http://www.fi.co.kr/main/view.asp?&idx=51365']
12,레이크넨(Lakeinen),레이크넨 쇼룸/작업실,패션,,2015-01-01,2015-12-31,,서울 성동구 성수동,,국내,국내,,윤홍미 디자이너가 2010년 론칭한 슈즈 브랜드. 성수동이라는 소싱처를 활용하여 상품 100%를 성수동에서 생산. 생산처와의 가까운 거리를 활용한 활발한 커뮤니케이션으로 품질 향상 실현.,2015,['http://www.fi.co.kr/main/view.asp?&idx=51365']
13,율이에(Yuul Yie),율이에 쇼룸 오픈,패션,,2015-01-01,2015-12-31,,서울 성동구 성수동,,국내,국내,,아티스틱한 디자이너 브랜드 율이에. 성수동에 플래그십 스토어/쇼룸 오픈. 해외에서도 사랑받는 디자이너 브랜드로 성수동 상권의 패션 중심지화에 기여.,2015,['https://www.timeoutkorea.kr/seoul/ko/restaurants/%EC%84%B1%EC%88%98%EB%8F%99%EC%97%90%EC%84%9C-%EA%BC%AD-%EA%B0%80%EB%B4%90%EC%95%BC-%ED%95%A0-%EC%B9%B4%ED%8E%98']
14,페넥(Fennec),페넥 컬러 스튜디오 오픈,패션,,2015-01-01,2015-12-31,,서울 성동구 성수동,,국내,국내,,주기별로 메인 컬러가 바뀌는 것이 특징인 페넥의 컬러 스튜디오. 성수동에 쇼룸 오픈하여 브랜드 아이덴티티를 강화.,2015,['https://www.timeoutkorea.kr/seoul/ko/restaurants/%EC%84%B1%EC%88%98%EB%8F%99%EC%97%90%EC%84%9C-%EA%BC%AD-%EA%B0%80%EB%B4%90%EC%95%BC-%ED%95%A0-%EC%B9%B4%ED%8E%98']
15,성동제화협회,구두와 장인 전시/판매,패션,,2015-01-01,2015-12-31,,서울 성동구 성수동 성수역 1번 출구 옆 성수동 수제화의 거리,,국내,국내,,"성수동 수제화의 공동 브랜드. 성동제화협회 회원사들이 제작한 남녀 구두, 가방, 액세서리 등 전시 판매. '패션리테일페어 2015' 참가. 롯데백화점 잠실점, 부산점 등에서 판매 행사 진행. 성수 본점 직영점 운영.",2015,['https://www.fi.co.kr/main/view.asp?&idx=51365']
16,스펠로(Spello),스펠로 쇼룸/작업실,패션,,2015-01-01,2015-12-31,,서울 성동구 성수동,,국내,국내,,"남성 수제화 브랜드 스펠로. 성수동 터줏대감 중 하나로, 독립 디자이너의 꿈을 이어온 이윤호 이사가 운영. 더베이직하우스에 인수된 이후에도 성수동에 작업실과 쇼룸 유지.",2015,['http://www.fi.co.kr/main/view.asp?&idx=51365']
17,서리얼벗나이스(Surreal But Nice),서리얼벗나이스 쇼룸,패션,,2015-01-01,2015-12-31,,서울 성동구 성수동,,국내,국내,,이은경 디자이너의 여성복 브랜드. 신사동에서 성수동으로 사무실 이전. 넓은 공간으로 확장하여 쇼룸 운영. 곳곳에 애정어린 손길로 꾸며진 인테리어가 특징.,2015,['http://www.fi.co.kr/main/view.asp?&idx=51365']
18,유즈드퓨처(Used Future),유즈드퓨처 쇼룸,패션,,2015-01-01,2015-12-31,,서울 성동구 성수동 (서울숲 인근),,국내,국내,,이동인 디자이너의 남성복 브랜드. 장충동에서 서울숲 인근 성수동으로 자리 이동. 한적하고 조용한 작업 공간을 찾아 성수동에 둥지를 틈.,2015,['http://www.fi.co.kr/main/view.asp?&idx=51365']
19,소녀방앗간,소녀방앗간 오픈,F&B,,2015-01-01,2015-12-31,,서울 성동구 성수동 (뚝섬역 인근),,국내,국내,,청정재료를 사용한 건강한 밥상으로 입소문난 핫플레이스. 사회적 기업으로서 지속가능한 경영 철학을 바탕으로 운영. 뚝섬역 인근 새로운 상권 형성의 중심 역할.,2015,['http://www.fi.co.kr/main/view.asp?&idx=51365']
20,스튜디오 빈카,스튜디오 빈카 가죽공방,라이프스타일,,2015-01-01,2015-12-31,,서울 성동구 성수동 (뚝섬역 인근),,국내,국내,,가죽공방 스튜디오 빈카. 뚝섬역 인근 청년 사업가들이 형성한 새로운 상권의 일원. 가죽 제품 직접 제작 및 판매.,2015,['http://www.fi.co.kr/main/view.asp?&idx=51365']
21,노란문,노란문 슈즈숍,패션,,2015-01-01,2015-12-31,,서울 성동구 성수동 (뚝섬역 인근),,국내,국내,,예쁜 슈즈를 도매 가격으로 만나볼 수 있는 슈즈 전문숍. 뚝섬역 인근 청년 사업가 상권의 일원으로 아기자기한 공간과 다채로운 컬러의 인테리어로 행인 유인.,2015,['http://www.fi.co.kr/main/view.asp?&idx=51365']
22,마리몬드(Marimond),마리몬드 팝업/판매,라이프스타일,,2015-01-01,2015-12-31,,서울 성동구 성수동 (뚝섬역 인근),,국내,국내,,위안부 할머니들의 작품으로 디자인 제품을 생산해 판매 수익금 일부를 기부하는 사회적 기업. 뚝섬역 인근 사회적 기업 군락 형성의 중심 브랜드.,2015,['http://www.fi.co.kr/main/view.asp?&idx=51365']
23,에어텍시스템,LED조명 신제품 발표회,테크,,2015-04-24,2015-04-24,,서울 성동구 성수동 자그마치,,국내,국내,,(주)에어텍시스템의 LED조명 신제품 발표회. 약 70여 명의 조명업계 관계자 참석. 슬림한 형태의 LED조명 제품과 자유로운 디밍 기능 등 다양한 신제품 소개.,2015,['https://www.architecturenews.kr/10863']
24,대림문화재단,대림창고 갤러리카페,라이프스타일,,2016-05-01,2016-05-01,,서울특별시 성동구 성수이로 78,,국내,국내,,"1970년대 정미소, 1990년대 물류창고로 사용되던 공간을 갤러리 겸 카페로 리모델링하여 오픈. 성수동의 대표적인 복합문화공간이자 랜드마크로 자리잡음. 낡은 공장 건축물의 원형을 살린 인더스트리얼 감성의 공간으로 전시와 카페 운영을 병행.",2016,"['https://blog.naver.com/lasaha3/220937201845', 'https://www.joongang.co.kr/article/23645921']"
25,성동구청/위누,2016 성동디자인위크 - 플레이 성수,예술,,2016-09-28,2016-10-02,,성수동 일대 43개 공간,,국내,국내,,"성수동 내 43개 독특한 공간을 중심으로 펼쳐지는 참여형 프로그램. '노는지' 온라인 지도 서비스를 통해 문화예술공간, 카페 등을 맵 기반으로 탐방 가능. 7가지 키워드(월빙, 여유, 재미, 에너지, 영감, 변화, 추억)에 따라 구성된 코스 제공. 성수동 내 공방 원데이 클래스, 음악 공연 등이 함께 개최.",2016,"['https://www.designdb.com/?menuno=1432&bbsno=1043', 'https://www.twig24.com/news/localnews/local_seoul/seoul_sd/2016/09/29/20160929015010']"
26,성동구청/예술단체,2016 성동디자인위크 - 스트릿 성수,예술,,2016-09-28,2016-10-02,,성수동 연무장길 골목 일대,,국내,국내,,"수제화 거리로 불리는 연무장길 골목 곳곳에서 진행된 문화예술 행사. 청년 아티스트들의 작품 전시, 소규모 아트페어, 음악 공연, 디지털 아트 등이 펼쳐짐. 메인 프로젝트 '미디어그램'에서는 아이패드를 활용한 라이브 페인팅 이벤트가 열림(아티스트 그룹 뷰직).",2016,"['https://www.designdb.com/?menuno=1432&bbsno=1043', 'https://www.seouland.com/arti/society/society_general/1093.html']"
27,성동구청/청년예술가,2016 성동디자인위크 - 크래프트마켓 성수,라이프스타일,,2016-09-28,2016-10-02,,성수동 뚝도시장 일대,,국내,국내,,"재래시장인 뚝도시장을 중심으로 청년 예술가와 디자이너들이 수공예 제품과 먹거리를 판매하는 마켓. 청년 푸드마켓, 버스킹 공연 등이 함께 열림.",2016,['https://www.designdb.com/?menuno=1432&bbsno=1043']
28,성동구청/문화단체,2016 성동디자인위크 - 야밤 성수,예술,,2016-09-30,2016-09-30,,언더스탠드에비뉴 ~ 유쾌한 아이디어 성수동공장,,국내,국내,,성수동 곳곳의 문화예술 공간을 소개한 투어지도를 들고 자유롭게 투어한 후 도착지에서 문화예술 공연과 전시를 관람하는 프로그램. 2016년 4월 오픈한 언더스탠드에비뉴에서 출발하여 유쾌한 아이디어 성수동공장을 도착지로 청춘 코스와 성수 코스 2가지 제공.,2016,['https://www.designdb.com/?menuno=1432&bbsno=1043']
29,유쾌한 아이디어,"ART, ON THE WAY 전시",예술,,2016-09-28,2016-10-02,,"유쾌한 아이디어 성수동공장, 서울 성수동",,국내,국내,,성동디자인위크 행사 일환으로 6명의 예술가를 초청하여 작품을 전시한 팝업 전시. 성수동 공장 건축을 활용한 이색적인 전시 공간으로 주목받음.,2016,['https://www.designdb.com/?menuno=1432&bbsno=1043']
30,호텔 아띠 성수,예술가의 방 전시,예술,,2016-09-28,2016-10-02,,"호텔 아띠 성수 11층, 서울 성수동",,국내,국내,,"더매치랩(TML)에서 기획한 전시+마켓+워크숍 형식의 아트 프로젝트. 비주얼 아티스트 김승태, 디자이너 목영교, 칠드런아티스트 한예롤 3인의 작품을 호텔 룸 하나를 작가 공간으로 꾸며내는 형식으로 전시.",2016,"['https://www.designdb.com/?menuno=1432&bbsno=1043', 'https://blog.naver.com/hotel_atti/220828439648']"
31,성동구청/서울문화재단,2016 성수예술마을만들기 - 성수 공방전,예술,,2016-11-04,2016-11-06,,성수동 연무장3길 공장터,,국내,국내,,서울문화재단과 성동문화재단이 협력한 '2016 성수예술마을만들기'의 성과공유 행사. 가죽/섬유/인쇄/목공/도예 등 지역 전통산업을 활용한 13건의 워크숍 결과물 100여 점 전시. '메이드 인 성수'라는 이름으로 진행된 주민 참여형 프로그램 성과 발표.,2016,"['https://www.g-enews.com/article/Distribution/2016/11/201611011435405016786_1', 'https://magazine.sfac.or.kr/html/view.asp?PubDate=201612']"
32,서울시/성동구/SBA,2016 슈슈마켓 & 서울365패션쇼,패션,,2016-10-07,2016-10-07,,성수동 구두테마공원,,국내,국내,,"침천된 수제화 산업 활성화를 위한 수제화 거리장터. 성수동 소재 20개 수제화 전문업체 참여. 시중 가격보다 10%~50% 할인된 가격으로 수제화 판매. 수제화 장인 최불암, 개그맨 윤형빈과의 협업 한정판 수제화 제작. 서울365패션쇼와 연계해 수제화와 가을 의상 선보임.",2016,"['https://www.straightnews.co.kr/news/articleView.html?idxno=15315', 'https://www.newsis.com/view/NISI20161007_0012258715']"
33,BMW 모토라드,시즌 오프닝 투어 2016,자동차,,2016-03-13,2016-03-14,,"RSG 성수, 서울 성수동",,해외,해외(기타),,BMW 모토라드의 모터사이클 페스티벌 '파티 & 라이드(PARTY & RIDE)'가 성수동 RSG 성수에서 양일간 개최. 모터사이클 애호가들을 위한 이벤트와 전시가 진행됨.,2016,['https://www.press.bmwgroup.com/korea/article/detail/T0258626KO']
34,어니언(Onion),어니언 성수 오픈,F&B,,2016-09-01,2016-09-30,,성수동 금속공장 개조 건축,,국내,국내,,"70년대 지어진 금속부품공장 건축물을 그대로 살린 카페. 2016년 9월 오픈 이후 성수동의 대표 핫플레이스로 자리잡음. 낡은 타일, 허물어진 벽, 메탈 소재를 그대로 살리고 중정 정원을 연결한 독특한 공간 구조가 특징.",2016,"['https://blog.naver.com/onsili/221397576054', 'https://blog.hsad.co.kr/2291']"
35,오르에르(Or.er),카페 오르에르 오픈,F&B,,2016-01-01,2016-12-31,,서울 성동구 성수동,,국내,국내,,"성수동 개척자 김재원 디렉터가 2016년 오픈한 카페. 벽돌 건축과 정원을 활용한 독특한 공간으로 성수동 카페 투어족을 불러모음. 오르에르 건축물 내 카페, 편집숍, 아카이브 등 복합문화공간으로 발전.",2016,"['https://www.joongang.co.kr/article/23645921', 'https://koreana.or.kr/koreana/na/ntt/selectNttInfo.do?nttSn=125659']"
36,언더스탠드에비뉴,언더스탠드에비뉴 개관,라이프스타일,,2016-04-18,2016-04-18,,"서울숲 인근, 서울 성수동",,국내,국내,,"민·관·기업 간 상생협력 사회공헌 프로젝트로 탄생한 창조적 공익문화공간. 개관 이후 약 800만 명이 누적 방문하고 연간 130만 명 이상이 찾는 성동구 대표 핫플레이스로 자리매김. 전시, 공연, 마켓 등 다양한 문화예술 프로그램 운영.",2016,"['https://blog.naver.com/PostView.nhn?blogId=jsw4122&logNo=223856345368', 'https://www.seouland.com/arti/society/society_general/1093.html']"
37,SFACTORY,에스팩토리(SFACTORY) 개관,라이프스타일,,2016-01-01,2016-12-31,,성수동 1970년대 섬유공장 부지,,국내,국내,,"1970년대 섬유공장, 체육관, 기숙사, 정비소를 리모델링한 복합문화공간. 공연장, 전시공간, F&B 등이 입점한 문화복합시설로 성수동의 대표적인 문화 거점으로 발전.",2016,['https://www.seoulfn.com/news/articleView.html?idxno=423040']
38,쏘카(SOCAR),쏘카 핫플레이스 - 테슬라 모델S 시승 이벤트,자동차,,2016-12-01,2016-12-31,,성수동 핫플레이스 일대,,국내,국내,,카셰어링 서비스 쏘카가 성수동 핫플레이스에서 테슬라 모델S 시승 이벤트를 진행. 시승이 이뤄지지 않은 시간에는 충전하면서 전시 효과도 누리는 이벤트 기획.,2016,['https://www.etnews.com/20161214000202']
39,어메이징 브루잉 컴퍼니,어메이징 브루잉 컴퍼니 성수 양조장 오픈,F&B,,2016-01-01,2016-12-31,,성수동 목공소 개조 양조장,,국내,국내,,오래된 목공소를 개조한 수제맥주 양조장이 2016년 성수동에 문을 엶. '강압적인 술 문화를 바꾸고 각자 다양한 술을 마셔봅시다'라는 메시지로 성수동 로컬 수제맥주 브랜드로 출발.,2016,['https://blog.naver.com/designpress2016/223104981944']
40,하이커워크샵(Hiker Workshop),하이커워크샵 론칭 및 성수 쇼룸 오픈,스포츠,,2016-01-01,2016-12-31,,성수동 쇼룸,,국내,국내,,"경량 하이킹 용품 브랜드 하이커워크샵이 2016년 론칭. 성수동에 쇼룸을 오픈하고 타입1, 타입2, 타입3 등 용량별 배낭 라인업을 선보임. 백패킹을 즐기는 소비자들 사이에서 높은 인기를 얻음.",2016,['https://fashionbiz.co.kr/article/213313']
41,더뮤지엄비지터(THE MUSEUM VISITOR),더뮤지엄비지터 브랜드 설립,패션,,2016-01-01,2016-12-31,,성수동 기반 활동,,국내,국내,,2016년 설립된 패션 브랜드. 샌프란시스코와 베를린을 넘나들며 패션과 예술을 공부한 디자이너 박문수가 전개하는 브랜드로 아트와 패션의 경계를 허무는 독보적인 디자인으로 국내외에서 인기를 얻음.,2016,['https://www.ktnews.com/news/articleView.html?idxno=130571']
42,성동구청/문화단체,휴(休)문화한마당,예술,,2016-05-06,2016-05-08,,서울숲 및 성수동 일대,,국내,국내,,"서울숲에서 개최된 문화축제. 성수동 일대에서 다양한 문화예술 공연, 전시, 체험 프로그램이 진행됨. 성수동의 도시재생과 문화 활성화를 위한 지역 축제.",2016,['https://www.seouland.com/arti/society/society_general/1093.html']
43,자그마치(Zagmachi),자그마치 팝업스토어 및 전시,라이프스타일,,2016-01-01,2016-12-31,,"성수역 근방, 서울 성수동",,국내,국내,,"성수동에 최초로 문화의 온기를 불어넣은 카페 겸 복합문화공간. 100평짜리 인쇄 공장을 개조한 공간에서 독특한 주제의 강연, 팝업스토어, 작가 전시, 건축가 포럼 등을 지속적으로 개최. '성수동에 가면 재미있는 것이 있다'는 입소문의 시작점.",2016,"['https://www.joongang.co.kr/article/23645921', 'https://koreana.or.kr/koreana/na/ntt/selectNttInfo.do?nttSn=125659']"
44,성동구청/서울시,뚝도시장 활어축제,F&B,,2016-11-11,2016-11-25,,성수동 뚝도시장 일대,,국내,국내,,"성수동 뚝도시장에서 개최된 활어축제. 도심에서 자연산 회를 맛볼 수 있는 행사로, 청년 예술가들의 수공예 제품 판매와 먹거리, 버스킹 공연 등이 함께 진행됨.",2016,['https://www.designdb.com/?menuno=1432&bbsno=1043']
45,성수동 수제화 공방 연합,성수동 수제화 거리 공방 투어,라이프스타일,,2016-01-01,2016-12-31,,성수동 연무장길 수제화 거리,,국내,국내,,"성수동 수제화 거리(연무장길)에서 진행되는 공방 투어 프로그램. 수제화 장인들의 작업 과정을 직접 관람하고 체험할 수 있는 프로그램. JS슈즈디자인연구소, 우드유라이크, 브렌드 도예공방 등 다양한 공방 참여.",2016,"['https://magazine.sfac.or.kr/html/view.asp?PubDate=201612', 'https://www.seouland.com/arti/society/society_general/1093.html']"
46,뷰직(Viewzic),미디어그램(MediaGram) 라이브 페인팅,예술,,2016-09-28,2016-10-02,,성수동 연무장길 일대,,국내,국내,,성동디자인위크 스트릿 성수 프로그램의 메인 프로젝트. 아이패드를 활용하여 그림을 그리면 실제 건축물 외벽에 스케치가 나타나도록 하는 디지털 아트 퍼포먼스. 아티스트 그룹 뷰직이 선보인 실시간 미디어 아트 이벤트.,2016,['https://www.designdb.com/?menuno=1432&bbsno=1043']
47,오픈하우스 서울,오픈하우스 성수동,예술,,2016-10-01,2016-10-31,,성수동 일대,,해외,해외(기타),,"오픈하우스 서울 프로그램의 일환으로 성수동 일반 건축물과 공방의 문을 열어 일반인에게 공개. 공방 체험 행사, 자전거 묣 대여 투어 등이 진행됨.",2016,['https://www.seouland.com/arti/society/society_general/1093.html']
48,성수동 빈티지 가구점 연합,성수동 빈티지 가구 거리,라이프스타일,,2016-01-01,2016-12-31,,성수동 성수사거리 일대,,국내,국내,,"성수사거리 일대에 성수동 빈티지 가구점들이 모여 형성된 상권. 희소성 있는 유럽 빈티지 가구와 조명, 소품 등을 판매하는 편집숍들이 성수동의 감성 소비 문화를 형성.",2016,['https://www.seouland.com/arti/society/society_general/1093.html']
49,서울문화재단/성동문화재단,2016 성수예술마을만들기 - 공방 워크숍,예술,,2016-06-01,2016-10-31,,성수동 각 공방,,국내,국내,,"성수동 내 목공방, 도예공방, 가죽공방, 섬유공방, 인쇄공방 등에서 진행된 주민 참여형 워크숍. '반짝반짝 가죽공장', '알록달록 섬유공장', '꾹꾹 찍는 인쇄공장', '뚝딱뚝딱 나무공장', '즐거운 도예공방', '토이제작 워크숍(3D프린트)' 등 다양한 프로그램 운영.",2016,"['https://magazine.sfac.or.kr/html/view.asp?PubDate=201612', 'https://www.g-enews.com/article/Distribution/2016/11/201611011435405016786_1']"
50,페이퍼크라운,성수예술마을 프로젝트 운영,예술,,2016-06-01,2016-11-30,,성수동 일대,,국내,국내,,"서울문화재단의 '예술마을 만들기' 사업으로 8000만 원 예산 투입. 성수동의 가죽·섬유·인쇄 등 지역 전통산업 자원과 공방, 갤러리, 카페 등 문화 인프라를 활용한 주민 참여형 프로그램 기획·운영.",2016,['https://magazine.sfac.or.kr/html/view.asp?PubDate=201612']
51,위누(Weenu),노는지(NNJ) 맵 서비스,라이프스타일,,2016-09-28,2016-10-02,,성수동 일대 43개 공간,,국내,국내,,"성동디자인위크 플레이 성수 프로그램을 기획한 문화예술사회적기업. 성수동 곳곳의 독특한 공간들을 방문하고 공간별 프로그램을 즐길 수 있는 '노는지' 온라인 지도 서비스 제공. 7가지 키워드별 문화예술공간, 카페 등을 맵상에 표시.",2016,['https://www.designdb.com/?menuno=1432&bbsno=1043']
52,더매치랩(TML),예술가의 방 아트 프로젝트,예술,,2016-09-28,2016-10-02,,호텔 아띠 성수 11층,,국내,국내,,"문화 컨텐츠 전시기획 및 새로운 비즈니스 모델을 구축하는 더매치랩에서 기획한 전시+마켓+워크숍 형식의 아트 프로젝트. 비주얼 아티스트 김승태, 디자이너 목영교, 칠드런아티스트 한예롤의 작품을 호텔 룸 갤러리 형태로 전시.",2016,"['https://www.designdb.com/?menuno=1432&bbsno=1043', 'https://blog.naver.com/hotel_atti/220828439648']"
53,서경대학교/성동구청,탭댄스 군무 공연,예술,,2016-10-07,2016-10-07,,성수동 구두테마공원,,국내,국내,,"2016 슈슈마켓 행사 일환으로 서경대학생 20명이 참여하는 탭댄스 군무 공연. 서울시 거리예술단(뮤지컬 하이, 이성호 밴드, 국악공연팀 다홍, 투보컬 유나이트) 공연, 초청가수 에이프릴·레이디스코드 공연 등 다양한 묭대행사.",2016,['https://www.straightnews.co.kr/news/articleView.html?idxno=15315']
54,오산대학교 신발산업과,오산대학교 신발산업과 학생작품 전시회,패션,,2016-10-07,2016-10-07,,성수동 구두테마공원,,국내,국내,,"2016 슈슈마켓 부대행사로 신발 개발, 생산, 유통 및 부품소재 생산 관련 전문인력을 양성하는 오산대학교 신발산업과 학생작품 25여 점의 전시회가 진행됨.",2016,['https://www.straightnews.co.kr/news/articleView.html?idxno=15315']
55,최불암/윤형빈,'나만의 수제화 만들기' 한정판 행사,패션,,2016-10-07,2016-10-07,,성수동 구두테마공원,,국내,국내,,2016 슈슈마켓 행사의 일환으로 국민배우 최불암(명장 유홍식/장인 전태수)과 개그맨 윤형빈(장인 임재영)이 참여한 '나만의 수제화 만들기' 한정판 수제화 제작 행사. 매출액 중 일부를 소외계층 기부로 사용.,2016,['https://www.straightnews.co.kr/news/articleView.html?idxno=15315']
56,성동구청/지역공방,성수동 공방 원데이 클래스,예술,,2016-06-01,2016-12-31,,성수동 각 공방,,국내,국내,,"성수예술마을만들기 사업의 일환으로 성수동 내 각 공방에서 진행된 원데이 클래스. 목공, 도예, 가죽공예, 섬유공예, 인쇄, 3D프린팅 등 다양한 분야의 체험 프로그램 운영.",2016,['https://magazine.sfac.or.kr/html/view.asp?PubDate=201612']
